,Unnamed: 0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
230,230,4,72.88796680497926,4,1,0,100.0,3,bowled,1,West Indies,Chennai,15-Dec-19
231,231,0,72.88796680497926,1,0,0,0.0,3,caught,1,West Indies,Visakhapatnam,18-Dec-19
232,232,85,72.88796680497926,81,9,0,104.93,3,bowled,2,West Indies,Cuttack,22-Dec-19
233,233,16,72.88796680497926,14,0,1,114.28,4,caught,1,Australia,Wankhede,14-Jan-20
234,234,78,72.88796680497926,76,6,0,102.63,3,caught,1,Australia,Rajkot,17-Jan-20
235,235,89,72.88796680497926,91,8,0,97.8,3,bowled,2,Australia,Bengaluru,19-Jan-20
236,236,51,88.0,63,6,0,80.95,3,bowled,1,New Zealand,Hamilton,05-Feb-20
237,237,15,31.0,25,1,0,60.0,3,bowled,2,New Zealand,Auckland,08-Feb-20
238,238,9,20.0,12,0,1,75.0,3,caught,1,New Zealand,Mount Maunganui,11-Feb-20
239,239,21,72.88796680497926,21,2,1,100.0,3,caught,2,Australia,Sydney,27-Nov-20
240,240,89,72.88796680497926,87,7,2,102.29,3,caught,2,Australia,Sydney,29-Nov-20
241,241,63,72.88796680497926,78,5,0,80.76,3,caught,1,Australia,Canberra,02-Dec-20
242,242,56,65.0,60,6,0,93.33,3,caught,1,England,Pune,23-Mar-21
243,243,66,110.0,79,3,1,83.54,3,caught,1,England,Pune,26-Mar-21
244,244,7,14.0,10,1,0,70.0,3,bowled,1,England,Pune,28-Mar-21
245,245,51,79.0,63,3,0,80.95,3,caught,2,South Africa,Paarl,19-Jan-22
246,246,0,4.0,5,0,0,0.0,3,caught,1,South Africa,Paarl,21-Jan-22
247,247,65,112.0,84,5,0,77.38,3,caught,2,South Africa,Cape Town,23-Jan-22
248,248,8,6.0,4,2,0,200.0,3,caught,2,West Indies,Ahmedabad,06-Feb-22
249,249,18,42.0,30,3,0,60.0,3,caught,1,West Indies,Ahmedabad,09-Feb-22
250,250,0,2.0,2,0,0,0.0,3,caught,1,West Indies,Ahmedabad,11-Feb-22
251,251,16,39.0,25,3,0,64.0,3,caught,2,England,Lord's,14-Jul-22
252,252,17,27.0,22,3,0,77.27,3,caught,2,England,Manchester,17-Jul-22
253,253,9,22.0,15,1,0,60.0,3,caught,1,Bangladesh,Mirpur,04-Dec-22
254,254,5,9.0,6,1,0,83.33,1,bowled,2,Bangladesh,Mirpur,07-Dec-22
255,255,113,174.0,91,11,2,124.17,3,caught,1,Bangladesh,Chattogram,10-Dec-22
256,256,113,117.0,87,12,1,129.88,3,caught,1,Sri Lanka,Guwahati,10-Jan-23
257,257,4,27.0,9,1,0,44.44,3,bowled,2,Sri Lanka,Eden Gardens,12-Jan-23
258,258,166,173.0,110,13,8,150.9,3,not out,1,Sri Lanka,Thiruvananthapuram,15-Jan-23
259,259,8,16.0,10,1,0,80.0,3,bowled,1,New Zealand,Hyderabad,18-Jan-23
260,260,11,19.0,9,2,0,122.22,3,stumped,2,New Zealand,Raipur,21-Jan-23
261,261,36,44.0,27,3,1,133.33,3,caught,1,New Zealand,Indore,24-Jan-23
262,262,4,15.0,9,1,0,44.44,3,lbw,2,Australia,Wankhede,17-Mar-23
263,263,31,79.0,35,4,0,88.57,3,lbw,1,Australia,Visakhapatnam,19-Mar-23
264,264,54,118.0,72,2,1,75.0,3,caught,2,Australia,Chennai,22-Mar-23
265,265,4,8.0,7,1,0,57.14,3,bowled,1,Pakistan,Pallekele,02-Sep-23
266,266,122,147.0,94,9,3,129.78,3,not out,1,Pakistan,Colombo (RPS),10-Sep-23
267,267,3,12.0,12,0,0,25.0,3,caught,1,Sri Lanka,Colombo (RPS),12-Sep-23
268,268,56,63.0,61,5,1,91.8,3,caught,2,Australia,Rajkot,27-Sep-23
269,269,85,171.0,116,6,0,73.27,3,caught,2,Australia,Chennai,08-Oct-23
270,270,55,64.0,56,6,0,98.21,3,not out,2,Afghanistan,Delhi,11-Oct-23
271,271,16,31.0,18,3,0,88.88,3,caught,2,Pakistan,Ahmedabad,14-Oct-23
272,272,103,113.0,97,6,4,106.18,3,not out,2,Bangladesh,Pune,19-Oct-23
273,273,95,154.0,104,8,2,91.34,3,caught,2,New Zealand,Dharamsala,22-Oct-23
274,274,0,12.0,9,0,0,0.0,3,caught,1,England,Lucknow,29-Oct-23
275,275,88,139.0,94,11,0,93.61,3,caught,1,Sri Lanka,Wankhede,02-Nov-23
276,276,101,195.0,121,10,0,83.47,3,not out,1,South Africa,Eden Gardens,05-Nov-23
